id,restaurant_name,category,price_tier,neighborhood,opening_hours,closing,average_rating,good_for_kids
343,non velit nec nisi,Mexican,Medium,Little Italy,10:00,20:00,1,FALSE
344,sit amet consectetuer,Italian,Cheap,Lincoln Square,10:00,20:00,5,FALSE
345,et ultrices posuere cubilia,French,Expensive,East Village,10:00,20:00,4,FALSE
346,eget elit sodales,Thai,Medium,Yorkville,10:00,20:00,2,FALSE
347,at ipsum,Japanese,Cheap,Roosevelt Island,10:00,20:00,2,TRUE
348,quam pharetra magna ac,Vietnamese,Cheap,Midtown,10:00,20:00,3,TRUE
349,cubilia curae donec,French,Medium,Meatpacking District,10:00,20:00,2,FALSE
350,nibh,Korean,Cheap,Tudor City,10:00,20:00,4,TRUE
351,semper interdum mauris ullamcorper,Italian,Expensive,Morningside Heights,10:00,20:00,5,TRUE
352,quam sollicitudin vitae,American,Cheap,Kips Bay,10:00,20:00,5,FALSE
353,accumsan tellus,American,Medium,Morningside Heights,10:00,20:00,3,FALSE
354,vestibulum sagittis sapien,Korean,Cheap,Sutton Place,10:00,20:00,1,FALSE
355,elit ac nulla sed,Thai,Cheap,Chelsea,10:00,20:00,4,TRUE
356,sem sed sagittis,Vietnamese,Cheap,Flatiron District,10:00,20:00,2,TRUE
357,luctus cum sociis,Vietnamese,Medium,Midtown,10:00,20:00,2,TRUE
358,venenatis,Spanish,Expensive,Greenwich Village,10:00,20:00,3,FALSE
359,posuere,Italian,Expensive,Chelsea,10:00,20:00,1,TRUE
360,ut nunc vestibulum,French,Expensive,Yorkville,10:00,20:00,4,TRUE
361,non mi integer ac,Spanish,Medium,Tribeca,10:00,20:00,5,TRUE
362,in quis justo,French,Medium,East Village,10:00,20:00,2,FALSE
363,in lacus curabitur at,Vietnamese,Cheap,Sutton Place,10:00,20:00,3,FALSE
364,curabitur,Japanese,Cheap,Stuyvesant Town,10:00,20:00,4,TRUE
365,curabitur,American,Expensive,Murray Hill,10:00,20:00,4,FALSE
366,nam,French,Cheap,Roosevelt Island,10:00,20:00,3,FALSE
367,suscipit ligula,American,Expensive,Little Italy,10:00,20:00,4,FALSE
368,nulla dapibus dolor vel,Middle Eastern,Cheap,West Village,10:00,20:00,2,FALSE
369,ultrices,Indian,Medium,Lenox Hill,10:00,20:00,4,FALSE
370,vivamus,Indian,Medium,Lower East Side,10:00,20:00,5,TRUE
371,id sapien,Spanish,Expensive,SoHo,10:00,20:00,5,FALSE
372,congue,Korean,Cheap,Tribeca,10:00,20:00,2,FALSE
373,augue quam,Korean,Expensive,Flatiron District,10:00,20:00,1,FALSE
374,platea dictumst,Middle Eastern,Medium,Upper West Side,10:00,20:00,5,TRUE
375,curae nulla dapibus dolor,Korean,Medium,Hell's Kitchen,10:00,20:00,3,TRUE
376,amet justo morbi,Mexican,Medium,Nolita,10:00,20:00,1,TRUE
377,justo,Indian,Expensive,Chinatown,10:00,20:00,5,FALSE
378,felis fusce posuere felis,Middle Eastern,Cheap,Roosevelt Island,10:00,20:00,2,TRUE
379,enim blandit mi,Japanese,Cheap,Yorkville,10:00,20:00,5,TRUE
380,nisl venenatis lacinia aenean,Thai,Cheap,Lenox Hill,10:00,20:00,1,FALSE
381,ac diam,French,Expensive,Murray Hill,10:00,20:00,3,FALSE
382,fermentum justo nec,Indian,Expensive,Greenwich Village,10:00,20:00,4,TRUE
383,in hac habitasse platea,Thai,Medium,Roosevelt Island,10:00,20:00,5,FALSE
384,velit eu,Thai,Cheap,NoHo,10:00,20:00,1,TRUE
385,vulputate vitae,Chinese,Cheap,East Village,10:00,20:00,3,TRUE
386,lobortis est,Korean,Medium,Murray Hill,10:00,20:00,4,FALSE
387,dapibus duis at velit,Thai,Cheap,Washington Heights,10:00,20:00,2,TRUE
388,volutpat convallis morbi odio,Italian,Cheap,Murray Hill,10:00,20:00,4,FALSE
389,pretium iaculis diam erat,Spanish,Cheap,Upper West Side,10:00,20:00,2,FALSE
390,eleifend luctus ultricies eu,Italian,Cheap,Midtown,10:00,20:00,4,TRUE
391,nulla nunc,American,Expensive,Battery Park City,10:00,20:00,2,TRUE
392,justo,Thai,Cheap,Washington Heights,10:00,20:00,1,TRUE
393,in quam fringilla rhoncus,Vietnamese,Medium,Tribeca,10:00,20:00,1,TRUE
394,justo in,Mexican,Medium,Lower East Side,10:00,20:00,4,FALSE
395,velit donec,French,Expensive,SoHo,10:00,20:00,5,TRUE
396,ultrices vel,Indian,Cheap,Hell's Kitchen,10:00,20:00,2,FALSE
397,cras pellentesque volutpat dui,American,Medium,Nolita,10:00,20:00,2,FALSE
398,in porttitor,Middle Eastern,Medium,Battery Park City,10:00,20:00,2,TRUE
399,leo odio condimentum,Italian,Cheap,Sutton Place,10:00,20:00,1,FALSE
400,varius nulla facilisi,Thai,Cheap,Lower East Side,10:00,20:00,1,FALSE
401,morbi,Indian,Cheap,Upper West Side,10:00,20:00,1,FALSE
402,ligula sit amet eleifend,Korean,Cheap,Little Italy,10:00,20:00,3,TRUE
403,hac,Korean,Medium,Battery Park City,10:00,20:00,1,FALSE
404,maecenas leo odio condimentum,Indian,Medium,Roosevelt Island,10:00,20:00,4,FALSE
405,curae,Korean,Expensive,Inwood,10:00,20:00,5,FALSE
406,fusce consequat nulla,Mexican,Medium,SoHo,10:00,20:00,2,TRUE
407,nulla,Chinese,Cheap,Roosevelt Island,10:00,20:00,3,TRUE
408,est risus auctor,Middle Eastern,Cheap,Tudor City,10:00,20:00,5,TRUE
409,lorem,Chinese,Medium,Kips Bay,10:00,20:00,5,FALSE
410,volutpat erat quisque erat,Thai,Cheap,Upper West Side,10:00,20:00,1,FALSE
411,lobortis convallis,French,Cheap,Yorkville,10:00,20:00,2,TRUE
412,ac,Korean,Medium,Tudor City,10:00,20:00,5,TRUE
413,at,French,Medium,Yorkville,10:00,20:00,5,TRUE
414,curae donec pharetra,Japanese,Cheap,Upper East Side,10:00,20:00,1,FALSE
415,tristique tortor,French,Cheap,Lenox Hill,10:00,20:00,5,FALSE
416,sapien,Mexican,Medium,Flatiron District,10:00,20:00,3,FALSE
417,convallis,Italian,Medium,Greenwich Village,10:00,20:00,3,FALSE
418,ultrices enim lorem,French,Medium,Sutton Place,10:00,20:00,1,FALSE
419,nullam,Korean,Medium,Battery Park City,10:00,20:00,3,TRUE
420,nec sem duis aliquam,Spanish,Medium,Roosevelt Island,10:00,20:00,3,FALSE
421,blandit mi in,Thai,Cheap,Harlem,10:00,20:00,4,FALSE
422,turpis a pede posuere,American,Medium,Yorkville,10:00,20:00,4,TRUE
423,tortor duis mattis egestas,Korean,Expensive,Midtown,10:00,20:00,2,FALSE
424,risus dapibus augue vel,Vietnamese,Cheap,Upper West Side,10:00,20:00,5,FALSE
425,pede morbi porttitor lorem,Japanese,Cheap,Gramercy Park,10:00,20:00,4,FALSE
426,erat id,Middle Eastern,Cheap,Tudor City,10:00,20:00,5,FALSE
427,etiam faucibus,Vietnamese,Expensive,Hell's Kitchen,10:00,20:00,3,TRUE
428,id justo,Spanish,Expensive,SoHo,10:00,20:00,1,TRUE
429,justo sit amet sapien,Vietnamese,Expensive,Lower East Side,10:00,20:00,4,FALSE
430,sed ante vivamus tortor,French,Cheap,Harlem,10:00,20:00,1,FALSE
431,sed vestibulum,Mexican,Cheap,Midtown,10:00,20:00,2,FALSE
432,aenean,Korean,Cheap,Stuyvesant Town,10:00,20:00,4,FALSE
433,mi sit amet,Chinese,Cheap,Tudor City,10:00,20:00,4,FALSE
434,justo morbi,Thai,Medium,Inwood,10:00,20:00,2,TRUE
435,natoque penatibus et,Japanese,Cheap,Gramercy Park,10:00,20:00,5,TRUE
436,elementum eu,Middle Eastern,Cheap,Kips Bay,10:00,20:00,2,TRUE
437,arcu sed,Indian,Expensive,East Village,10:00,20:00,1,TRUE
438,in felis donec semper,Middle Eastern,Expensive,Lenox Hill,10:00,20:00,3,FALSE
439,ipsum,Indian,Medium,Harlem,10:00,20:00,5,TRUE
440,magnis dis parturient montes,Middle Eastern,Expensive,Sutton Place,10:00,20:00,1,FALSE
441,ut,Italian,Expensive,Upper West Side,10:00,20:00,2,TRUE
442,cras pellentesque volutpat,Japanese,Expensive,Battery Park City,10:00,20:00,3,FALSE
443,fermentum justo nec condimentum,Thai,Cheap,Kips Bay,10:00,20:00,4,TRUE
444,nec molestie,Italian,Medium,Sutton Place,10:00,20:00,5,TRUE
445,dapibus duis at velit,French,Medium,Little Italy,10:00,20:00,5,FALSE
446,ut,Thai,Expensive,Washington Heights,10:00,20:00,5,TRUE
447,vestibulum,Vietnamese,Cheap,West Village,10:00,20:00,5,FALSE
448,at,Italian,Expensive,Meatpacking District,10:00,20:00,4,TRUE
449,leo pellentesque ultrices,Japanese,Cheap,Midtown,10:00,20:00,3,TRUE
450,nam tristique tortor eu,Mexican,Cheap,Murray Hill,10:00,20:00,1,FALSE
451,metus aenean fermentum,Italian,Cheap,Murray Hill,10:00,20:00,2,TRUE
452,amet eleifend,Mexican,Expensive,Chelsea,10:00,20:00,2,TRUE
453,in hac habitasse platea,Vietnamese,Medium,Upper West Side,10:00,20:00,2,TRUE
454,convallis nulla neque libero,Italian,Cheap,Yorkville,10:00,20:00,1,TRUE
455,feugiat non,Japanese,Cheap,Midtown,10:00,20:00,5,FALSE
456,integer ac leo pellentesque,Indian,Expensive,Gramercy Park,10:00,20:00,2,FALSE
457,quis libero,French,Cheap,Roosevelt Island,10:00,20:00,1,FALSE
458,risus praesent lectus vestibulum,American,Expensive,Upper East Side,10:00,20:00,1,FALSE
459,ultrices,Thai,Cheap,Chelsea,10:00,20:00,3,FALSE
460,vitae nisl aenean lectus,French,Expensive,Battery Park City,10:00,20:00,5,TRUE
461,id consequat in consequat,Chinese,Cheap,Morningside Heights,10:00,20:00,4,TRUE
462,quam pede lobortis ligula,Thai,Expensive,Lincoln Square,10:00,20:00,4,TRUE
463,morbi,Thai,Expensive,Tudor City,10:00,20:00,2,FALSE
464,id mauris,Indian,Expensive,Washington Heights,10:00,20:00,3,TRUE
465,porttitor pede justo,American,Cheap,Kips Bay,10:00,20:00,4,TRUE
466,facilisi,Chinese,Cheap,Roosevelt Island,10:00,20:00,5,TRUE
467,magna,Mexican,Expensive,Lincoln Square,10:00,20:00,2,TRUE
468,penatibus et magnis dis,Mexican,Cheap,Morningside Heights,10:00,20:00,5,FALSE
469,nisi at nibh,Korean,Cheap,Midtown,10:00,20:00,2,TRUE
470,faucibus,French,Expensive,Harlem,10:00,20:00,5,FALSE
471,sapien cursus,Chinese,Medium,Sutton Place,10:00,20:00,5,FALSE
472,nisl nunc rhoncus dui,American,Expensive,Tribeca,10:00,20:00,5,TRUE
473,augue vel accumsan,Italian,Medium,Chinatown,10:00,20:00,1,TRUE
474,mattis odio donec,Mexican,Medium,SoHo,10:00,20:00,3,FALSE
475,nonummy maecenas tincidunt,American,Cheap,Upper West Side,10:00,20:00,5,TRUE
476,sem duis aliquam,Italian,Cheap,SoHo,10:00,20:00,4,TRUE
477,et commodo vulputate,Thai,Medium,Tribeca,10:00,20:00,1,FALSE
478,fermentum donec ut mauris,American,Medium,Washington Heights,10:00,20:00,3,TRUE
479,mollis molestie lorem quisque,French,Medium,Meatpacking District,10:00,20:00,3,FALSE
480,id consequat in,Chinese,Cheap,Little Italy,10:00,20:00,4,TRUE
481,augue a,Spanish,Cheap,Kips Bay,10:00,20:00,4,FALSE
482,luctus et,Thai,Medium,Inwood,10:00,20:00,2,TRUE
483,faucibus,Korean,Medium,Roosevelt Island,10:00,20:00,5,TRUE
484,dui vel nisl duis,Middle Eastern,Medium,Lenox Hill,10:00,20:00,2,TRUE
485,id mauris vulputate,Spanish,Cheap,Washington Heights,10:00,20:00,2,FALSE
486,non,American,Cheap,Murray Hill,10:00,20:00,1,TRUE
487,dui proin leo odio,Italian,Cheap,West Village,10:00,20:00,2,FALSE
488,donec ut mauris,Spanish,Expensive,Financial District,10:00,20:00,2,FALSE
489,lacus,Middle Eastern,Medium,Turtle Bay,10:00,20:00,4,FALSE
490,quisque id justo,Vietnamese,Cheap,Yorkville,10:00,20:00,3,TRUE
491,lectus,American,Cheap,Turtle Bay,10:00,20:00,2,TRUE
492,interdum mauris ullamcorper,Japanese,Cheap,Midtown,10:00,20:00,4,TRUE
493,in tempus sit amet,Vietnamese,Cheap,Lower East Side,10:00,20:00,1,TRUE
494,tincidunt nulla,Chinese,Cheap,Sutton Place,10:00,20:00,5,TRUE
495,ligula vehicula,Japanese,Cheap,Tribeca,10:00,20:00,3,FALSE
496,vulputate ut ultrices,Korean,Cheap,Midtown,10:00,20:00,3,TRUE
497,ultrices,American,Cheap,West Village,10:00,20:00,5,FALSE
498,non,Spanish,Expensive,Nolita,10:00,20:00,4,TRUE
499,pellentesque,French,Medium,Stuyvesant Town,10:00,20:00,4,FALSE
500,odio odio,Spanish,Medium,Sutton Place,10:00,20:00,3,FALSE
501,nascetur ridiculus mus vivamus,Korean,Medium,Harlem,10:00,20:00,1,TRUE
502,vulputate ut ultrices vel,Mexican,Medium,Chelsea,10:00,20:00,1,TRUE
503,orci,Italian,Expensive,Chinatown,10:00,20:00,4,FALSE
504,magna,Korean,Cheap,Little Italy,10:00,20:00,1,FALSE
505,in lacus,French,Cheap,Flatiron District,10:00,20:00,2,TRUE
506,id turpis integer aliquet,Korean,Medium,Little Italy,10:00,20:00,5,TRUE
507,maecenas tincidunt lacus at,Chinese,Cheap,Meatpacking District,10:00,20:00,5,TRUE
508,pede justo,Thai,Medium,Chinatown,10:00,20:00,2,FALSE
509,at turpis,Spanish,Cheap,Gramercy Park,10:00,20:00,4,FALSE
510,vel enim,Japanese,Cheap,Lenox Hill,10:00,20:00,5,TRUE
511,ultrices mattis,Spanish,Expensive,Chelsea,10:00,20:00,2,FALSE
512,luctus et ultrices,Middle Eastern,Expensive,Nolita,10:00,20:00,4,FALSE
513,odio consequat varius integer,Indian,Cheap,Chelsea,10:00,20:00,5,TRUE
514,ut,Indian,Medium,Yorkville,10:00,20:00,1,FALSE
515,magna,American,Cheap,Little Italy,10:00,20:00,1,TRUE
516,eu orci mauris lacinia,Spanish,Medium,Greenwich Village,10:00,20:00,4,FALSE
517,in,Mexican,Cheap,Kips Bay,10:00,20:00,3,TRUE
518,leo,Spanish,Cheap,Stuyvesant Town,10:00,20:00,1,TRUE
519,nullam,Middle Eastern,Medium,Turtle Bay,10:00,20:00,5,TRUE
520,diam neque vestibulum eget,Thai,Expensive,East Village,10:00,20:00,3,TRUE
521,eu est congue elementum,Chinese,Medium,Lenox Hill,10:00,20:00,4,FALSE
522,lectus suspendisse,American,Expensive,Stuyvesant Town,10:00,20:00,3,FALSE
523,vitae mattis,Spanish,Cheap,Stuyvesant Town,10:00,20:00,4,FALSE
524,adipiscing lorem vitae mattis,Mexican,Expensive,Little Italy,10:00,20:00,1,FALSE
525,maecenas ut massa,Japanese,Expensive,Morningside Heights,10:00,20:00,2,TRUE
526,faucibus orci luctus,Chinese,Medium,Tudor City,10:00,20:00,4,FALSE
527,amet consectetuer adipiscing elit,French,Expensive,Flatiron District,10:00,20:00,2,TRUE
528,luctus et,Italian,Medium,Midtown,10:00,20:00,4,FALSE
529,arcu,Spanish,Medium,Lower East Side,10:00,20:00,2,TRUE
530,lobortis est phasellus sit,Chinese,Expensive,Lower East Side,10:00,20:00,2,TRUE
531,porttitor lorem id ligula,Japanese,Cheap,Kips Bay,10:00,20:00,2,TRUE
532,justo sit amet sapien,Mexican,Medium,Murray Hill,10:00,20:00,2,FALSE
533,sed lacus,American,Expensive,Turtle Bay,10:00,20:00,5,TRUE
534,orci pede venenatis non,American,Cheap,Kips Bay,10:00,20:00,3,FALSE
535,scelerisque,Italian,Cheap,Battery Park City,10:00,20:00,1,TRUE
536,fringilla rhoncus,Vietnamese,Expensive,Hell's Kitchen,10:00,20:00,3,TRUE
537,libero non,Korean,Cheap,Tudor City,10:00,20:00,4,TRUE
538,aliquet massa,Indian,Expensive,Yorkville,10:00,20:00,2,TRUE
539,massa donec,American,Cheap,Washington Heights,10:00,20:00,4,TRUE
540,habitasse platea dictumst,American,Cheap,Upper East Side,10:00,20:00,4,TRUE
541,fusce,Mexican,Expensive,Nolita,10:00,20:00,2,TRUE
542,ac consequat metus,Chinese,Medium,Murray Hill,10:00,20:00,2,FALSE
543,imperdiet et commodo vulputate,American,Medium,Inwood,10:00,20:00,1,FALSE
544,porta volutpat erat quisque,Thai,Cheap,Sutton Place,10:00,20:00,3,FALSE
545,adipiscing elit,Mexican,Medium,Little Italy,10:00,20:00,4,TRUE
546,nam,Chinese,Medium,Chelsea,10:00,20:00,3,TRUE
547,nulla mollis,Spanish,Medium,Lenox Hill,10:00,20:00,5,FALSE
548,rhoncus aliquam lacus,Italian,Expensive,Yorkville,10:00,20:00,2,TRUE
549,turpis,Vietnamese,Cheap,West Village,10:00,20:00,1,FALSE
550,imperdiet sapien urna pretium,Indian,Expensive,Sutton Place,10:00,20:00,3,TRUE
551,sit amet,Vietnamese,Cheap,Chelsea,10:00,20:00,1,TRUE
552,viverra,Thai,Expensive,Sutton Place,10:00,20:00,3,TRUE
553,at nulla suspendisse potenti,Korean,Cheap,Harlem,10:00,20:00,3,FALSE
554,eu tincidunt in,Vietnamese,Expensive,Battery Park City,10:00,20:00,4,FALSE
555,varius,Japanese,Expensive,Battery Park City,10:00,20:00,1,FALSE
556,mi nulla ac,Vietnamese,Medium,NoHo,10:00,20:00,4,FALSE
557,at,French,Expensive,Nolita,10:00,20:00,3,TRUE
558,lobortis convallis tortor risus,Spanish,Cheap,Inwood,10:00,20:00,3,TRUE
559,pede venenatis non,Chinese,Expensive,Upper West Side,10:00,20:00,2,FALSE
560,ut,Mexican,Expensive,Inwood,10:00,20:00,5,FALSE
561,nulla ut erat id,Japanese,Expensive,Chelsea,10:00,20:00,5,TRUE
562,sed interdum venenatis,Korean,Expensive,Nolita,10:00,20:00,4,TRUE
563,donec posuere,Thai,Medium,Lenox Hill,10:00,20:00,5,TRUE
564,ultrices erat tortor sollicitudin,French,Medium,Nolita,10:00,20:00,4,TRUE
565,sit amet eros,Mexican,Cheap,Flatiron District,10:00,20:00,5,FALSE
566,sapien urna,Chinese,Cheap,Greenwich Village,10:00,20:00,3,TRUE
567,odio,Mexican,Expensive,Inwood,10:00,20:00,5,FALSE
568,suspendisse accumsan,Thai,Cheap,Battery Park City,10:00,20:00,1,TRUE
569,penatibus et,Indian,Medium,SoHo,10:00,20:00,5,FALSE
570,curabitur at ipsum,Mexican,Cheap,Lower East Side,10:00,20:00,2,FALSE
571,sollicitudin mi sit,Korean,Cheap,Upper East Side,10:00,20:00,1,FALSE
572,sapien quis libero,Middle Eastern,Expensive,Chelsea,10:00,20:00,4,FALSE
573,justo,Japanese,Medium,Chelsea,10:00,20:00,1,FALSE
574,at diam nam tristique,Vietnamese,Cheap,Stuyvesant Town,10:00,20:00,4,TRUE
575,congue eget semper,French,Cheap,West Village,10:00,20:00,2,TRUE
576,sit amet justo,French,Expensive,Turtle Bay,10:00,20:00,5,TRUE
577,velit vivamus vel nulla,Mexican,Medium,Meatpacking District,10:00,20:00,2,TRUE
578,ridiculus,Korean,Medium,Murray Hill,10:00,20:00,1,FALSE
579,ipsum primis,Middle Eastern,Medium,Roosevelt Island,10:00,20:00,3,TRUE
580,eros vestibulum ac,Middle Eastern,Cheap,Upper West Side,10:00,20:00,5,TRUE
581,in consequat ut nulla,Middle Eastern,Medium,Hell's Kitchen,10:00,20:00,2,FALSE
582,nonummy integer non velit,Vietnamese,Medium,Greenwich Village,10:00,20:00,4,FALSE
583,dignissim vestibulum,Middle Eastern,Expensive,Stuyvesant Town,10:00,20:00,5,TRUE
584,in blandit ultrices,Vietnamese,Expensive,Stuyvesant Town,10:00,20:00,1,TRUE
585,et ultrices posuere,Thai,Expensive,Lower East Side,10:00,20:00,1,TRUE
586,libero rutrum ac lobortis,Indian,Cheap,Nolita,10:00,20:00,1,FALSE
587,odio justo,Italian,Cheap,Lincoln Square,10:00,20:00,4,FALSE
588,proin eu,Spanish,Expensive,Little Italy,10:00,20:00,3,FALSE
589,et magnis dis,American,Expensive,Roosevelt Island,10:00,20:00,4,FALSE
590,ante ipsum primis,American,Cheap,Murray Hill,10:00,20:00,1,TRUE
591,erat curabitur,Middle Eastern,Expensive,Financial District,10:00,20:00,1,FALSE
592,vel,Japanese,Expensive,Yorkville,10:00,20:00,3,TRUE
593,nulla sed,Mexican,Cheap,Kips Bay,10:00,20:00,4,TRUE
594,vel accumsan,Chinese,Medium,West Village,10:00,20:00,5,TRUE
595,est,Japanese,Cheap,East Village,10:00,20:00,5,TRUE
596,volutpat quam pede,Japanese,Medium,Murray Hill,10:00,20:00,5,FALSE
597,lacus,Middle Eastern,Medium,Kips Bay,10:00,20:00,3,FALSE
598,et magnis dis parturient,American,Expensive,Chelsea,10:00,20:00,1,FALSE
599,ut massa volutpat convallis,American,Medium,Greenwich Village,10:00,20:00,1,TRUE
600,curae donec,Italian,Medium,Lenox Hill,10:00,20:00,1,TRUE
601,consequat metus,Thai,Expensive,Flatiron District,10:00,20:00,4,TRUE
602,sapien cursus,Spanish,Expensive,Sutton Place,10:00,20:00,2,TRUE
603,et eros vestibulum ac,Thai,Expensive,Harlem,10:00,20:00,3,TRUE
604,sapien in,Chinese,Cheap,SoHo,10:00,20:00,3,TRUE
605,mi in porttitor,Mexican,Medium,Morningside Heights,10:00,20:00,4,TRUE
606,duis bibendum felis,Middle Eastern,Cheap,Chelsea,10:00,20:00,1,FALSE
607,turpis adipiscing,Japanese,Medium,Inwood,10:00,20:00,4,TRUE
608,ultrices,Mexican,Cheap,Chinatown,10:00,20:00,2,TRUE
609,interdum venenatis turpis enim,Chinese,Expensive,Morningside Heights,10:00,20:00,3,TRUE
610,ipsum,Vietnamese,Cheap,Tudor City,10:00,20:00,5,TRUE
611,aenean,Spanish,Expensive,Roosevelt Island,10:00,20:00,5,TRUE
612,euismod scelerisque,Indian,Medium,Battery Park City,10:00,20:00,1,FALSE
613,blandit,Thai,Expensive,Battery Park City,10:00,20:00,1,FALSE
614,tempus semper est,Italian,Medium,Inwood,10:00,20:00,2,TRUE
615,lacinia eget tincidunt eget,American,Expensive,Inwood,10:00,20:00,5,TRUE
616,amet nulla,Korean,Medium,Chelsea,10:00,20:00,2,FALSE
617,in,Korean,Medium,Tudor City,10:00,20:00,3,TRUE
618,sociis,French,Expensive,Hell's Kitchen,10:00,20:00,2,FALSE
619,odio consequat varius integer,Indian,Cheap,Turtle Bay,10:00,20:00,3,TRUE
620,ut volutpat sapien,Vietnamese,Expensive,SoHo,10:00,20:00,1,FALSE
621,felis donec semper sapien,Spanish,Medium,East Village,10:00,20:00,5,FALSE
622,erat,American,Cheap,Kips Bay,10:00,20:00,3,FALSE
623,non ligula,Mexican,Medium,Greenwich Village,10:00,20:00,3,TRUE
624,viverra diam vitae,Italian,Expensive,Lincoln Square,10:00,20:00,5,FALSE
625,ut tellus,Chinese,Medium,Chelsea,10:00,20:00,2,FALSE
626,sociis,Korean,Cheap,Midtown,10:00,20:00,5,TRUE
627,pellentesque,Italian,Medium,Nolita,10:00,20:00,4,FALSE
628,lobortis vel dapibus at,Japanese,Cheap,NoHo,10:00,20:00,1,TRUE
629,odio odio elementum,American,Cheap,Lincoln Square,10:00,20:00,4,FALSE
630,a libero nam dui,Korean,Expensive,SoHo,10:00,20:00,3,FALSE
631,nec nisi,Italian,Medium,Yorkville,10:00,20:00,4,TRUE
632,odio consequat,Thai,Expensive,Tribeca,10:00,20:00,1,TRUE
633,cras in,Korean,Cheap,SoHo,10:00,20:00,4,FALSE
634,sapien placerat,Spanish,Expensive,Lower East Side,10:00,20:00,3,TRUE
635,id lobortis convallis,Thai,Expensive,Tudor City,10:00,20:00,5,FALSE
636,in congue,Indian,Medium,NoHo,10:00,20:00,1,FALSE
637,sit,Chinese,Medium,Upper East Side,10:00,20:00,1,FALSE
638,pellentesque,Chinese,Medium,Upper West Side,10:00,20:00,4,TRUE
639,vestibulum,Japanese,Expensive,Battery Park City,10:00,20:00,5,FALSE
640,at turpis,Italian,Medium,Washington Heights,10:00,20:00,3,FALSE
641,semper interdum mauris,French,Cheap,Harlem,10:00,20:00,4,FALSE
642,molestie,French,Expensive,Upper West Side,10:00,20:00,4,FALSE
643,sapien quis libero,American,Medium,Chinatown,10:00,20:00,5,TRUE
644,diam,Middle Eastern,Cheap,Upper West Side,10:00,20:00,3,FALSE
645,sed augue aliquam,American,Cheap,Flatiron District,10:00,20:00,2,TRUE
646,donec vitae nisi nam,Chinese,Medium,Financial District,10:00,20:00,2,FALSE
647,nisi venenatis,Chinese,Medium,Midtown,10:00,20:00,5,TRUE
648,odio donec vitae,Middle Eastern,Cheap,Tudor City,10:00,20:00,5,FALSE
649,in faucibus,Spanish,Medium,West Village,10:00,20:00,1,TRUE
650,sed vel enim sit,Mexican,Medium,Chinatown,10:00,20:00,4,FALSE
651,ut erat id,Chinese,Cheap,Kips Bay,10:00,20:00,3,TRUE
652,ut,Spanish,Medium,West Village,10:00,20:00,1,TRUE
653,est risus auctor,Mexican,Medium,Lower East Side,10:00,20:00,5,FALSE
654,velit donec diam,Middle Eastern,Medium,Washington Heights,10:00,20:00,5,FALSE
655,turpis adipiscing lorem,American,Cheap,East Village,10:00,20:00,3,FALSE
656,rhoncus aliquet,Japanese,Cheap,Harlem,10:00,20:00,1,TRUE
657,varius ut,Mexican,Expensive,West Village,10:00,20:00,3,TRUE
658,elit,Spanish,Medium,West Village,10:00,20:00,1,FALSE
659,interdum mauris ullamcorper purus,French,Medium,Battery Park City,10:00,20:00,1,FALSE
660,mauris lacinia,Spanish,Medium,Yorkville,10:00,20:00,3,TRUE
661,mattis egestas,Japanese,Medium,Nolita,10:00,20:00,2,TRUE
662,sed justo pellentesque,Italian,Expensive,Battery Park City,10:00,20:00,5,TRUE
663,morbi,French,Medium,Chinatown,10:00,20:00,4,FALSE
664,purus eu magna,Indian,Medium,Little Italy,10:00,20:00,4,TRUE
665,justo etiam pretium,Italian,Cheap,Sutton Place,10:00,20:00,1,FALSE
666,faucibus cursus urna,Japanese,Expensive,NoHo,10:00,20:00,3,TRUE
667,odio consequat,American,Cheap,Little Italy,10:00,20:00,5,FALSE
668,pretium,Spanish,Expensive,Morningside Heights,10:00,20:00,4,FALSE
669,iaculis,Middle Eastern,Expensive,Little Italy,10:00,20:00,2,TRUE
670,libero quis orci nullam,Indian,Medium,SoHo,10:00,20:00,4,FALSE
671,nisl,Indian,Cheap,Meatpacking District,10:00,20:00,4,FALSE
672,blandit,Korean,Medium,Harlem,10:00,20:00,4,TRUE
673,morbi sem,Mexican,Expensive,Murray Hill,10:00,20:00,5,TRUE
674,volutpat,Korean,Expensive,Upper East Side,10:00,20:00,1,FALSE
675,metus sapien ut,Middle Eastern,Cheap,Washington Heights,10:00,20:00,5,TRUE
676,sit,Mexican,Medium,Sutton Place,10:00,20:00,4,TRUE
677,dictumst,Indian,Cheap,Lenox Hill,10:00,20:00,4,TRUE
678,justo maecenas,Japanese,Expensive,Gramercy Park,10:00,20:00,2,TRUE
679,elit proin risus praesent,Japanese,Expensive,Stuyvesant Town,10:00,20:00,2,TRUE
680,ligula sit,Spanish,Expensive,Greenwich Village,10:00,20:00,4,FALSE
681,in hac habitasse platea,American,Expensive,Flatiron District,10:00,20:00,1,FALSE
682,nibh ligula nec sem,Vietnamese,Medium,Kips Bay,10:00,20:00,4,TRUE
683,consectetuer adipiscing elit proin,Chinese,Cheap,Yorkville,10:00,20:00,5,FALSE
684,tristique fusce,Middle Eastern,Medium,Stuyvesant Town,10:00,20:00,3,FALSE
685,elit,Japanese,Medium,NoHo,10:00,20:00,1,TRUE
686,cubilia curae donec,Spanish,Medium,Washington Heights,10:00,20:00,5,TRUE
